lga,population,no_of_households,average_household_size,trips_av_weekday,trips_av_weekend,trips_per_person_weekday,trips_per_person_weekend,trips_per_household_weekday,trips_per_household_weekend,commute1,work_related_business1,education_child_care1,shopping,personal_business1,social_recreation1,serve_passenger1,other,vehicle_driver1,vehicle_passenger1,train1,bus1,walk_only1,other_modes1,commute2,work_related_business2,education_child_care2,shopping2,personal_business2,social_recreation2,serve_passenger2,other2,vehicle_driver2,vehicle_passenger2,train2,bus2,walk_only2,walk_linked5_2,other_modes2,commute3,work_related_business3,education_child_care3,shopping3,personal_business3,social_recreation3,serve_passenger3,other3,vehicle_driver3,vehicle_passenger3,train3,bus3,walk_only3,other_modes3,commute4,work_related_business4,education_child_care4,shopping4,personal_business4,social_recreation4,serve_passenger4,other4,vehicle_driver4,vehicle_passenger4,train4,bus4,walk_only4,walk_linked5_4,other_modes4,private_vehicles,vehicles_per_household,total_travel,total_travel_per_capita,av_trip_length,Vehicle_travel_(VKT),vkt_per_capita,av_work_trip_duration,av_non_work_trip_duration,av_trip_duration_all_purposes,daily_travel_time_per_capita
Greater Bendigo (C),89000,37000,2.4,337995,278956,3.8,3.1,9.2,7.6,87000,42000,39000,68000,38000,97000,41000,53000,189000,92000,3000,9000,43000,8000,862000,599000,436000,498000,427000,1237000,278000,562000,1874000,1087000,277000,77000,35000,193,46000,0.27,0.13,0.12,0.21,0.12,0.30,0.13,0.16,0.55,0.27,0.01,0.03,0.12,0.02,0.18,0.12,0.09,0.10,0.09,0.25,0.06,0.11,0.55,0.32,0.08,0.02,0.01,0.0001,0.01,557000,2.1,322000,13.1,1.0,48808,2.0,18,16,17,60
Greater Dandenong (C),119000,45000,2.6,376704,320681,3.2,2.7,8.3,7.1,111000,52000,40000,78000,35000,102000,44000,51000,200000,100000,21000,20000,93000,7000,1270000,686000,297000,415000,282000,910000,338000,385000,1770000,733000,353000,125000,70000,766,33000,0.30,0.14,0.11,0.21,0.10,0.28,0.12,0.14,0.45,0.23,0.05,0.05,0.21,0.01,0.28,0.15,0.06,0.09,0.06,0.20,0.07,0.08,0.57,0.24,0.11,0.04,0.02,0.0002,0.01,544000,1.9,366000,37.3,1.0,14170,1.4,28,19,21,64
Greater Geelong (C),195000,77000,2.5,711027,589390,3.6,3.0,9.2,7.6,161000,83000,73000,162000,70000,196000,78000,123000,393000,183000,13000,16000,111000,15000,2339000,1469000,828000,1050000,753000,2314000,643000,1093000,4334000,2051000,622000,122000,97000,742,70000,0.24,0.12,0.11,0.24,0.10,0.29,0.12,0.18,0.54,0.25,0.02,0.02,0.15,0.02,0.22,0.14,0.08,0.10,0.07,0.22,0.06,0.10,0.59,0.28,0.09,0.02,0.01,0.0001,0.01,1232000,2.1,676000,23.3,1.0,54798,1.9,25,17,18,64
Greater Shepparton (C),57000,21000,2.7,196265,155910,3.5,2.8,9.2,7.3,58000,29000,19000,40000,18000,48000,22000,29000,113000,51000,0,7000,18000,4000,622000,367000,280000,294000,230000,1064000,230000,400000,1472000,846000,18000,182000,16000,8,23000,0.31,0.16,0.10,0.21,0.10,0.26,0.12,0.16,0.59,0.27,0.00,0.04,0.10,0.02,0.18,0.11,0.08,0.08,0.07,0.31,0.07,0.11,0.58,0.33,0.01,0.07,0.01,0.0000,0.01,359000,2.3,185000,7.6,1.0,56796,2.3,15,20,19,62
Hobsons Bay (C),77000,31000,2.5,281527,202781,3.7,2.6,9.2,6.6,71000,34000,21000,52000,18000,70000,34000,48000,144000,68000,17000,8000,63000,14000,940000,479000,463000,402000,458000,1047000,217000,461000,1576000,802000,260000,96000,39000,562,39000,0.27,0.13,0.08,0.20,0.07,0.27,0.13,0.18,0.46,0.22,0.05,0.03,0.20,0.04,0.21,0.11,0.10,0.09,0.10,0.23,0.05,0.10,0.56,0.29,0.09,0.03,0.01,0.0002,0.01,411000,1.9,261000,50.5,1.0,9594,1.9,30,20,22,75
Hume (C),144000,49000,2.9,441741,348901,3.1,2.4,9.0,7.1,131000,60000,49000,72000,44000,112000,60000,66000,241000,124000,17000,11000,60000,9000,1932000,1097000,645000,500000,624000,1906000,522000,624000,3300000,1441000,302000,105000,42000,329,94000,0.32,0.14,0.12,0.17,0.11,0.27,0.15,0.16,0.52,0.27,0.04,0.02,0.13,0.02,0.25,0.14,0.08,0.06,0.08,0.24,0.07,0.08,0.62,0.27,0.06,0.02,0.01,0.0001,0.02,726000,2.2,413000,55.3,1.0,15211,2.0,31,20,22,64
Kingston (C),133000,52000,2.5,464980,383910,3.5,2.9,8.9,7.3,127000,60000,46000,110000,44000,119000,53000,71000,253000,106000,24000,14000,110000,16000,1481000,787000,449000,642000,428000,1406000,416000,387000,2321000,999000,478000,95000,81000,777,63000,0.28,0.13,0.10,0.25,0.10,0.27,0.12,0.16,0.48,0.20,0.05,0.03,0.21,0.03,0.25,0.13,0.07,0.11,0.07,0.23,0.07,0.06,0.57,0.25,0.12,0.02,0.02,0.0002,0.02,734000,1.9,446000,36.9,1.0,18951,1.6,29,18,21,70
Knox (C),148000,51000,2.9,517261,386693,3.5,2.6,10.1,7.6,136000,68000,44000,95000,41000,121000,71000,77000,291000,135000,12000,13000,63000,9000,1611000,1030000,375000,523000,368000,1344000,467000,650000,2923000,1257000,240000,100000,55000,457,36000,0.29,0.14,0.09,0.20,0.09,0.26,0.15,0.16,0.56,0.26,0.02,0.03,0.12,0.02,0.25,0.16,0.06,0.08,0.06,0.21,0.07,0.10,0.63,0.27,0.05,0.02,0.01,0.0001,0.01,993000,2.3,473000,35.6,1.0,22447,1.7,29,17,20,65
Latrobe (C),67000,27000,2.4,234169,193111,3.5,2.9,8.5,7.0,57000,26000,27000,51000,25000,65000,26000,37000,132000,58000,1000,6000,30000,4000,700000,408000,352000,502000,339000,903000,306000,538000,1662000,860000,114000,86000,25000,64,34000,0.26,0.12,0.12,0.23,0.11,0.30,0.12,0.17,0.57,0.25,0.01,0.03,0.13,0.02,0.17,0.10,0.09,0.12,0.08,0.22,0.08,0.13,0.60,0.31,0.04,0.03,0.01,0.0000,0.01,390000,2.2,220000,9.1,1.0,60594,2.5,19,18,18,59
Macedon Ranges (S),19000,7000,2.9,87471,49890,4.7,2.7,13.5,7.7,22000,7000,11000,18000,12000,18000,12000,12000,48000,19000,1000,3000,9000,2000,378000,132000,143000,211000,143000,242000,44000,91000,516000,176000,108000,64000,8000,0,5000,0.29,0.09,0.15,0.24,0.15,0.23,0.16,0.16,0.59,0.23,0.02,0.04,0.11,0.02,0.27,0.10,0.10,0.15,0.10,0.18,0.03,0.07,0.59,0.20,0.12,0.07,0.01,0.0000,0.01,145000,2.3,76000,62.2,1.0,2246,1.8,22,15,16,66
