HHID,HHSIZE,VISITORS,HHSTRUCTURE,DWELLTYPE,OWNDWELL,YEARSLIVED,MONTHSLIVED,ADULTBIKES,KIDSBIKES,TOTALBIKES,ADULTBIKESUSED,KIDSBIKESUSED,TOTALBIKESUSED,CARS,FOURWDS,UTES,VANS,TRUCKS,MBIKES,OTHERVEHS,TOTALVEHS,HOMESLA,HOMELGA,ADHHWGT,WDHHWGT,WEHHWGT,HomeRegion,StationProx,Day_Type,SURVEY_PERIOD,HHINC_quintile
Y09H010238,2,0,5,2,3,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057351,27350,160,230.7,0,1,2,1,2,5
Y09H010241,2,0,2,2,3,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205057351,27350,188,0,609.5,1,2,2,2,4
Y09H010242,1,0,1,2,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057351,27350,171.5,0,555.9,1,2,2,2,3
Y09H010302,4,0,3,1,3,10,1,1,2,3,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,86.5,143.7,0,1,2,1,2,2
Y09H010304,1,0,1,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205057352,27350,91.7,126.7,0,1,2,1,2,3
Y09H010305,2,0,2,1,1,15,7,1,0,1,1,0,1,2,0,0,0,0,0,0,2,205057352,27350,35.4,48.9,0,1,2,1,2,3
Y09H010307,2,0,2,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,103.9,0,220,1,2,2,2,1
Y09H010308,2,0,2,3,3,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205057352,27350,109.9,151.9,0,1,2,1,2,4
Y09H010310,2,0,2,3,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,84.1,124.2,0,1,2,1,2,4
Y09H010312,2,0,5,3,3,2,4,2,0,2,2,0,2,1,0,0,0,0,0,0,1,205057352,27350,93.3,129,0,1,1,1,2,5
Y09H010313,2,0,5,3,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,123.2,0,445.8,1,2,2,2,4
Y09H010314,1,0,1,1,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205057352,27350,42.6,0,154.6,1,2,2,2,1
Y09H010318,2,0,2,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,91.7,126.7,0,1,2,1,2,4
Y09H010320,3,0,3,1,1,38,9,1,0,1,1,0,1,2,0,0,0,0,0,0,2,205057352,27350,46.7,0,169.5,1,2,2,2,4
Y09H010322,2,0,2,1,2,1,2,2,0,2,0,0,0,0,1,0,0,0,0,0,1,205057352,27350,159.1,244.2,0,1,1,1,2,5
Y09H010325,3,0,4,2,1,8,1,1,1,2,0,0,0,1,1,0,0,0,0,0,2,205057352,27350,73.5,108.6,0,1,2,1,2,3
Y09H010329,1,0,1,3,3,2,6,1,0,1,1,0,1,1,0,0,0,0,1,0,2,205057352,27350,109.9,151.9,0,1,1,1,2,4
Y09H010330,2,1,2,3,2,7,2,1,0,1,0,0,0,2,0,0,0,0,0,0,2,205057352,27350,104.5,192.3,0,1,1,1,2,4
Y09H010334,2,0,2,3,1,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,98.7,0,302,1,1,2,2,4
Y09H010335,2,1,2,3,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057352,27350,103.9,0,220,1,1,2,2,2
Y09H010336,2,0,2,1,1,19,11,0,0,0,0,0,0,1,0,0,0,0,1,0,2,205057352,27350,41.7,57.6,0,1,2,1,2,3
Y09H010403,2,0,2,2,1,2,8,4,0,4,4,0,4,1,1,0,0,0,0,0,2,205055902,25900,79.4,124.8,0,1,3,1,2,5
Y09H010405,1,0,1,3,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055902,25900,149.6,222.1,0,1,3,1,2,1
Y09H010407,3,0,4,3,3,13,2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,156,0,471.9,1,3,2,2,1
Y09H010410,1,0,1,3,3,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,168,249.4,0,1,3,1,2,1
Y09H010413,3,0,5,2,1,3,4,1,0,1,1,0,1,1,1,0,0,0,0,0,2,205055902,25900,73.8,0,199.1,1,3,2,2,5
Y09H010416,2,0,2,3,1,9,1,2,0,2,0,0,0,2,0,0,0,0,0,0,2,205055902,25900,85.6,134.5,0,1,3,1,2,2
Y09H010420,2,4,5,1,1,12,6,2,0,2,2,0,2,2,0,0,0,0,0,0,2,205055902,25900,28.7,0,270.5,1,3,2,2,3
Y09H010426,3,0,3,2,2,4,11,0,0,0,0,0,0,1,1,0,0,0,0,0,2,205055902,25900,99.9,128.8,0,1,3,1,2,3
Y09H010427,4,0,3,2,3,3,2,2,2,4,1,1,2,1,0,0,0,0,0,0,1,205055902,25900,156,0,471.9,1,3,2,2,4
Y09H010429,3,0,3,1,1,23,6,1,0,1,0,0,0,2,0,0,0,0,0,0,2,205055902,25900,32.4,36.9,0,1,3,1,2,5
Y09H010430,2,0,2,1,1,25,6,1,0,1,0,0,0,3,0,0,0,0,0,0,3,205055902,25900,33.3,37.9,0,1,3,1,2,3
Y09H010439,1,0,1,3,3,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055902,25900,146.9,218.1,0,1,3,1,2,1
Y09H010510,5,0,3,1,2,2,8,0,2,2,0,2,2,1,1,0,0,0,0,0,2,205054608,24600,41.4,63.5,0,1,2,1,2,5
Y09H010511,2,0,4,2,2,3,6,1,0,1,1,0,1,1,0,0,0,0,0,0,1,205054608,24600,108.8,148.4,0,1,2,1,2,3
Y09H010512,2,0,2,2,2,7,4,2,0,2,1,0,1,1,1,0,0,0,0,0,2,205054608,24600,105.2,143.5,0,1,2,1,2,5
Y09H010515,4,0,3,3,3,2,6,0,2,2,0,2,2,1,0,0,0,0,0,0,1,205054608,24600,142.7,176.9,0,1,2,1,2,4
Y09H010516,3,0,3,3,3,1,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,179.1,222.1,0,1,2,1,2,5
Y09H010517,2,0,2,3,2,5,9,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,114,155.4,0,1,2,1,2,5
Y09H010519,2,0,2,3,1,9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,83,125.8,0,1,2,1,2,3
Y09H010522,3,0,2,2,3,2,6,4,0,4,2,0,2,1,0,0,0,0,0,0,1,205054608,24600,142.7,176.9,0,1,2,1,2,4
Y09H010523,3,0,4,2,3,20,6,2,2,4,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,179.1,222.1,0,1,2,1,2,2
Y09H010524,2,1,2,1,1,4,8,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,32,37.1,0,1,2,1,2,5
Y09H010525,2,0,2,2,2,8,10,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,108.8,148.4,0,1,2,1,2,5
Y09H010529,2,0,2,2,3,6,3,3,0,3,2,0,2,2,0,0,0,0,0,0,2,205054608,24600,142.7,176.9,0,1,2,1,2,3
Y09H010530,1,0,1,2,3,1,6,1,0,1,1,0,1,1,0,0,0,0,0,0,1,205054608,24600,179.1,222.1,0,1,2,1,2,1
Y09H010532,4,0,3,1,1,7,7,2,1,3,2,1,3,0,1,0,0,0,0,0,1,205054608,24600,30.5,35.4,0,1,2,1,2,2
Y09H010534,3,0,3,2,1,10,6,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,72.3,0,209.5,1,2,2,2,3
Y09H010538,1,0,1,1,1,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,32,37.1,0,1,2,1,2,4
Y09H010539,4,0,3,2,1,5,1,2,0,2,0,0,0,1,1,0,0,0,0,0,2,205054608,24600,85.8,130.1,0,1,2,1,2,5
Y09H010601,1,0,1,3,1,10,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,65.6,103.1,0,1,2,1,2,1
Y09H010603,1,0,1,3,2,5,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,129.4,166.9,0,1,2,1,2,5
Y09H010604,1,0,1,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055902,25900,185.1,274.8,0,1,2,1,2,3
Y09H010605,2,0,2,3,3,3,2,2,0,2,2,0,2,1,0,0,0,0,0,0,1,205055902,25900,179,265.8,0,1,2,1,2,5
Y09H010607,2,0,2,3,3,3,2,2,0,2,0,0,0,1,0,0,0,0,1,0,2,205055902,25900,156,0,471.9,1,2,2,2,5
Y09H010608,2,0,2,3,2,4,4,1,0,1,0,0,0,1,1,0,0,0,0,0,2,205055902,25900,92.7,119.5,0,1,2,1,2,5
Y09H010609,2,0,5,3,2,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,116.3,150,0,1,2,1,2,2
Y09H010610,2,2,2,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,193.8,287.8,0,1,2,1,2,5
Y09H010613,2,2,2,3,1,1,2,2,0,2,2,0,2,1,0,0,0,0,0,0,1,205055902,25900,73.8,0,199.1,1,2,2,2,1
Y09H010614,1,1,1,3,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,205055902,25900,104.1,0,473.8,1,2,2,2,4
Y09H010619,1,1,1,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055902,25900,179,265.8,0,1,2,1,2,3
Y09H010625,2,0,2,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,185.1,274.8,0,1,2,1,2,2
Y09H010626,2,0,2,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,179,265.8,0,1,2,1,2,5
Y09H010627,2,1,5,3,3,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,156,0,471.9,1,2,2,2,4
Y09H010630,2,0,2,3,2,1,4,2,0,2,1,0,1,2,0,0,0,0,0,0,2,205055902,25900,116.3,150,0,1,2,1,2,5
Y09H010635,1,0,1,3,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,104.1,0,473.8,1,2,2,2,4
Y09H010641,4,0,3,3,3,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,156,0,471.9,1,2,2,2,4
Y09H010707,2,0,2,3,3,0,10,3,0,3,2,0,2,0,0,0,0,0,0,0,0,205055901,25900,179.9,0,628.2,1,2,2,2,4
Y09H010709,1,0,1,3,3,15,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,205055901,25900,201,282.2,0,1,2,1,2,1
Y09H010711,1,0,1,3,3,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,213.5,299.7,0,1,2,1,2,3
Y09H010713,1,0,1,3,2,3,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,205055901,25900,111.2,0,368.8,1,2,2,2,1
Y09H010716,1,0,1,3,3,5,2,2,0,2,1,0,1,1,0,0,0,0,0,0,1,205055901,25900,201,282.2,0,1,2,1,2,3
Y09H010720,1,0,1,3,3,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,1,205055901,25900,179.9,0,628.2,1,2,2,2,3
Y09H010722,1,0,1,2,2,3,10,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,99,141.7,0,1,2,1,2,5
Y09H010723,3,0,4,2,2,12,9,1,2,3,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,124.2,177.9,0,1,2,1,2,3
Y09H010725,1,0,1,3,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055901,25900,213.5,299.7,0,1,2,1,2,2
Y09H010726,2,0,2,3,3,1,6,2,0,2,1,0,1,2,0,0,0,0,0,0,2,205055901,25900,206.5,289.9,0,1,2,1,2,5
Y09H010727,1,0,1,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,111.2,0,368.8,1,2,2,2,5
Y09H010729,4,0,3,2,1,5,8,0,2,2,0,2,2,0,1,0,0,0,0,0,1,205055901,25900,78.4,103.1,0,1,2,1,2,1
Y09H010730,5,0,3,2,3,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,201,282.2,0,1,2,1,2,3
Y09H010732,1,0,1,3,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055901,25900,213.5,299.7,0,1,2,1,2,3
Y09H010734,2,0,5,2,2,8,11,2,0,2,1,0,1,0,0,0,0,0,0,0,0,205055901,25900,111.2,0,368.8,1,2,2,2,5
Y09H010738,1,0,1,3,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055901,25900,223.6,313.9,0,1,2,1,2,1
Y09H010801,4,0,3,2,2,0,10,2,2,4,1,2,3,1,1,0,0,0,0,0,2,205054608,24600,81.6,111.3,0,1,2,1,2,5
Y09H010802,4,0,3,2,3,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,179.1,222.1,0,1,2,1,2,4
Y09H010803,2,0,4,2,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,89.9,136.2,0,1,2,1,2,2
Y09H010804,1,1,1,2,2,10,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,205054608,24600,108.8,148.4,0,1,2,1,2,3
Y09H010821,2,0,2,2,1,5,9,0,0,0,0,0,0,1,0,0,1,0,0,0,2,205054608,24600,72.3,0,209.5,1,2,2,2,3
Y09H010823,1,0,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,179.1,222.1,0,1,2,1,2,1
Y09H010824,1,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,199.3,247.1,0,1,2,1,2,1
Y09H010826,1,0,1,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,184,228.2,0,1,2,1,2,2
Y09H010827,4,0,3,2,2,2,5,1,0,1,0,0,0,3,1,0,0,0,0,0,4,205054608,24600,91.7,0,345.3,1,2,2,2,5
Y09H010830,1,0,1,2,1,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,80.8,122.5,0,1,2,1,2,2
Y09H010831,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,199.3,247.1,0,1,2,1,2,1
Y09H010832,1,1,1,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,190.3,235.9,0,1,2,1,2,1
Y09H010834,1,0,1,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,160.4,0,862.5,1,2,2,2,1
Y09H010835,1,0,1,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,160.4,0,862.5,1,2,2,2,1
Y09H010838,3,0,5,3,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,199.3,247.1,0,1,2,1,2,4
Y09H010839,2,1,2,2,4,7,9,3,0,3,3,0,3,1,0,0,0,0,0,0,1,205054608,24600,190.3,235.9,0,1,2,1,2,4
Y09H010841,2,0,2,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,72.3,0,209.5,1,2,2,2,4
Y09H010901,1,0,1,3,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,142.7,176.9,0,1,2,1,2,4
Y09H010902,1,0,1,3,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,205054608,24600,151.6,187.9,0,1,2,1,2,3
Y09H010904,1,0,1,3,3,0,9,2,0,2,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,169.7,210.4,0,1,2,1,2,5
Y09H010905,1,0,1,3,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205054608,24600,77,116.6,0,1,2,1,2,1
Y09H010910,2,0,2,3,3,5,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,205054608,24600,140.5,174.2,0,1,2,1,2,3
Y09H010914,2,0,2,3,2,5,10,2,0,2,1,0,1,1,1,0,1,1,0,0,4,205054608,24600,111.6,0,420.2,1,2,2,2,5
Y09H010915,2,0,2,3,3,14,0,2,0,2,1,0,1,1,0,0,0,0,0,0,1,205054608,24600,142.7,176.9,0,1,2,1,2,4
Y09H010917,2,0,2,3,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,140.5,174.2,0,1,2,1,2,4
Y09H010921,1,0,1,3,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,195.1,0,1049.6,1,2,2,2,1
Y09H010922,1,0,1,3,3,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,142.7,176.9,0,1,2,1,2,3
Y09H010923,1,0,1,3,3,9,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,151.6,187.9,0,1,2,1,2,2
Y09H010924,2,0,2,3,3,1,6,2,0,2,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,140.5,174.2,0,1,2,1,2,5
Y09H010926,2,0,5,3,3,3,6,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,170.6,211.5,0,1,2,1,2,5
Y09H010929,2,0,2,3,3,1,8,2,0,2,2,0,2,2,0,0,0,0,0,0,2,205054608,24600,142.7,176.9,0,1,2,1,2,3
Y09H010930,2,0,5,3,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,151.6,187.9,0,1,2,1,2,5
Y09H010931,1,0,1,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,140.5,174.2,0,1,2,1,2,3
Y09H010932,1,0,1,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205054608,24600,76.6,116,0,1,2,1,2,1
Y09H010933,2,0,2,3,3,2,6,2,0,2,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,170.6,211.5,0,1,2,1,2,3
Y09H010935,2,0,2,3,3,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0,2,205054608,24600,195.1,0,1049.6,1,2,2,2,4
Y09H010936,2,0,5,3,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,81.6,111.3,0,1,2,1,2,5
Y09H010938,3,0,3,3,1,26,11,1,0,1,0,0,0,3,0,0,0,0,0,0,3,205054608,24600,63.4,96,0,1,2,1,2,3
Y09H010941,1,0,1,3,3,8,5,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205054608,24600,206.3,0,1109.4,1,2,2,2,2
Y09H011002,2,0,2,3,1,2,2,2,0,2,0,0,0,0,1,0,0,0,0,0,1,205055902,25900,69.7,109.5,0,1,2,1,2,5
Y09H011004,2,0,4,3,2,3,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205055902,25900,110.2,142.2,0,1,2,1,2,4
Y09H011008,2,0,2,3,2,2,6,0,0,0,0,0,0,4,0,0,0,0,0,0,4,205055902,25900,118.2,152.5,0,1,2,1,2,5
Y09H011013,2,0,2,3,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,200.6,0,607,1,2,2,2,5
Y09H011014,1,0,1,3,2,2,6,1,0,1,1,0,1,1,0,0,0,0,0,0,1,205055902,25900,126.7,0,576.5,1,2,2,2,5
Y09H011017,2,0,2,3,3,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,136.6,202.9,0,1,2,1,2,5
Y09H011019,1,0,1,3,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,166,246.4,0,1,2,1,2,5
Y09H011024,1,0,1,3,3,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,136.6,202.9,0,1,2,1,2,3
Y09H011028,2,1,5,3,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,189.8,0,574.3,1,2,2,2,4
Y09H011032,2,0,2,1,1,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205055902,25900,30.4,34.6,0,1,2,1,2,2
Y09H011033,1,0,1,2,1,17,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,205055902,25900,78.5,123.3,0,1,2,1,2,1
Y09H011037,1,0,1,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,98.4,127,0,1,2,1,2,3
Y09H011038,1,0,1,3,1,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205055902,25900,64.6,101.5,0,1,2,1,2,5
Y09H011102,3,0,2,3,3,1,6,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,170.1,238.8,0,1,2,1,2,3
Y09H011104,1,0,1,3,2,3,10,2,0,2,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,117.7,168.6,0,1,2,1,2,2
Y09H011109,1,0,1,3,3,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205055901,25900,170.1,238.8,0,1,2,1,2,3
Y09H011111,1,0,1,3,2,9,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,205055901,25900,117.7,168.6,0,1,2,1,2,3
Y09H011112,1,0,1,3,1,15,11,1,0,1,1,0,1,1,0,0,0,0,0,0,1,205055901,25900,93.7,123.2,0,1,2,1,2,1
