LGA Profiler
Source: 2010/11 Household Travel Survey
Bureau of Transport Statistics
,,Ashfield,Auburn,Bankstown,Blacktown,Botany Bay,Burwood,Camden,Campbelltown,Canada Bay,Canterbury,Fairfield,Holroyd,Hornsby,Hurstville,Kogarah,Ku-ring-gai,Lane Cove,Leichhardt,Liverpool,Manly,Marrickville,Mosman,North Sydney,Parramatta,Penrith,Pittwater,Randwick,Rockdale,Ryde,Strathfield,Sutherland Shire,Sydney,Warringah,Willoughby,Waverley,Woollahra
Purpose of travel (distance),Commute,252000,555000,1282000,2986000,187000,216000,714000,1891000,469000,780000,1686000,783000,1571000,576000,419000,782000,149000,336000,1529000,308000,484000,139000,394000,1615000,2170000,519000,658000,624000,868000,255000,2116000,976000,959000,363000,338000,282000
,Work_related_business,74000,252000,576000,1871000,126000,105000,505000,780000,294000,274000,685000,511000,527000,295000,245000,324000,87000,201000,1146000,178000,248000,45000,227000,738000,1849000,270000,461000,352000,401000,108000,1014000,347000,395000,121000,180000,249000
,Education_childcare,42000,226000,359000,707000,42000,69000,211000,319000,112000,186000,379000,216000,413000,109000,167000,281000,58000,84000,600000,90000,66000,48000,43000,323000,505000,153000,156000,298000,184000,55000,592000,134000,273000,138000,55000,39000
,Shopping,102000,232000,361000,768000,56000,63000,226000,598000,325000,269000,501000,201000,542000,232000,149000,407000,84000,118000,582000,72000,138000,54000,115000,450000,610000,156000,288000,152000,284000,58000,765000,250000,419000,152000,139000,98000
,Personal_business,57000,93000,214000,394000,51000,28000,134000,239000,106000,141000,246000,166000,304000,52000,79000,151000,43000,43000,268000,85000,67000,35000,69000,229000,365000,142000,125000,153000,104000,28000,363000,124000,312000,199000,73000,85000
,Social_recreation,238000,290000,954000,2031000,378000,203000,766000,865000,285000,753000,870000,477000,1460000,542000,284000,865000,138000,252000,1636000,254000,315000,153000,385000,805000,1362000,438000,593000,332000,681000,124000,1887000,816000,978000,493000,264000,286000
,Serve_passenger,120000,223000,650000,1559000,158000,85000,384000,840000,201000,392000,613000,251000,664000,282000,206000,417000,121000,87000,959000,141000,165000,73000,104000,652000,1088000,274000,415000,261000,312000,60000,972000,190000,531000,250000,171000,186000
,Other,12000,60000,52000,94000,13000,4000,57000,89000,51000,22000,41000,15000,59000,17000,46000,47000,15000,24000,71000,24000,22000,22000,32000,53000,88000,47000,46000,30000,35000,9000,155000,85000,64000,20000,33000,25000
Mode of travel (distance),Vehicle_driver,477000,1027000,2574000,6311000,518000,340000,2102000,3549000,1071000,1550000,2731000,1630000,3189000,1204000,925000,1834000,382000,593000,4117000,537000,795000,268000,712000,2811000,5495000,1289000,1520000,1173000,1499000,382000,4811000,1336000,2489000,881000,664000,746000
,Vehicle_passenger,175000,273000,870000,2290000,255000,155000,640000,1136000,377000,641000,1044000,361000,1087000,400000,330000,575000,123000,159000,1733000,223000,221000,116000,235000,779000,1650000,385000,582000,338000,604000,110000,1712000,326000,777000,396000,225000,201000
